Neighborhood,Neighborhood lat,Neighborhood lon,Venue,ID,Venue lat,Venue lon,Venue Category
Altstadt-Süd,50.92918115,6.95532909057539,La Piazza,4ee1fe7d8b816da57c6913c3,50.93454955821203,6.956192884076401,Italian Restaurant
Altstadt-Süd,50.92918115,6.95532909057539,Onkel Tan's Kiosk,4bfb9c97d0382d7fa0d7c90a,50.92762742289349,6.953165531158447,Food & Drink Shop
Altstadt-Süd,50.92918115,6.95532909057539,Derkum Modellbau,5226fbed11d2870b7cfa8f82,50.93205825834209,6.954756779487095,Toy / Game Store
Altstadt-Süd,50.92918115,6.95532909057539,Dablju,50144814e4b0b186e4d63849,50.93195302520014,6.951740491554404,Restaurant
Altstadt-Süd,50.92918115,6.95532909057539,Sushi Bar,4dcc0966fa76d745f0624e47,50.93289896961155,6.956335,Japanese Restaurant
Altstadt-Süd,50.92918115,6.95532909057539,Hotel Ahl Meerkatzen,4b058869f964a5200ac422e3,50.93319211704773,6.95915377039541,Hotel
Altstadt-Süd,50.92918115,6.95532909057539,Park bei St. Pantaleon,55aa82b5498e73edda9293a1,50.929928,6.9485807,Park
Altstadt-Süd,50.92918115,6.95532909057539,Curry & Wurst,4bd81386f645c9b6ca13a7e0,50.93430633658121,6.956160672911002,Currywurst Joint
Altstadt-Süd,50.92918115,6.95532909057539,Hussel Confiserie,4bb4394f9af3b713601c8c28,50.931448,6.963405,Chocolate Shop
Neustadt-Süd,50.92655975,6.94040633814256,Häppchen,541c3701498ed1e0072d104f,50.9268736356019,6.938140103267444,Café
Neustadt-Süd,50.92655975,6.94040633814256,Blue Shell,4b05886cf964a520d4c422e3,50.92770025450918,6.939889304537603,Nightclub
Neustadt-Süd,50.92655975,6.94040633814256,Pastabar Caruso,4bb21f3bf964a520ceba3ce3,50.92844838074322,6.942911851128946,Italian Restaurant
Neustadt-Süd,50.92655975,6.94040633814256,Stereo Wonderland,4b05886af964a52066c422e3,50.92752600435777,6.939966980092045,Bar
Neustadt-Süd,50.92655975,6.94040633814256,Freddy Schilling,4cc1810567a3b1f739c6c80e,50.928760001979406,6.938134429082945,Burger Joint
